Currency Region;Site SKU;Partner PID;Product Name;List Price;Sale Price;Promo;Savings;Value Add
cs-CZ;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;994;;;;
cs-CZ;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;6 626;;;552 Kč;44%
cs-CZ;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;949;;;;
cs-CZ;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;9 849;;;820.75 Kč;14%
da-DK;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;269;;;;
da-DK;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;1,818.07;;;DKK 151.51;44%
da-DK;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;259,9;;;;
da-DK;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;2,699;;;DKK 224.90;13%
de-DE;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;34,95;;;;
de-DE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;239,4;;;19,95 €;43%
de-DE;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;34,95;;;;
de-DE;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;359,4;;;"29,95 &euro;";14%
de-LI;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;39;;;;
de-LI;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;261;;;CHF 21.75;44%
de-LI;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;37.9;;;;
de-LI;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;384.9;;;CHF 32.00;15%
en-AU;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;31.95;;;;
en-AU;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;217.64;;;AU$ 18.14;43%
en-AU;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;49;;;;
en-AU;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;449;;;AU$ 37.40;24%
en-CA;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;39.95;;;;
en-CA;CDGSSUBPUREPREM1-TEST;153663;OL_DR_SUB30;39.95;;;;
en-CA;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;219;;;CA$ 18.25;54%
en-CA;CDGSSUBPUREPREM2-TEST;153669;OL_DR_SUB365;219;;;;
en-CA;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;49;;;;
en-CA;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;432;;;CA$ 36.00;27%
en-CA;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;410;;;;
en-GB;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;29.99;;;;
en-GB;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;199.99;;;"&pound;16.67";44%
en-GB;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;29.99;;;;
en-GB;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;299;;;"&pound;27.50";8%
en-IE;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;34.95;;;;
en-IE;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;239.4;;;"&euro; 19.95";43%
en-IE;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;34.95;;;;
en-IE;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;359.4;;;"&euro; 29.95";14%
en-IN;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;See Resellers;;;;
en-IN;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;See Resellers;;;;
en-IN;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;2,599;;;;
en-IN;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;25,199;;;;
en-MY;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;133;;;;
en-MY;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;876;;;RM73.00;45%
en-MY;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;135;;;;
en-MY;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;1,299;;;RM131.60;23%
en-NZ;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;41.95;;;;
en-NZ;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;283.09;;;NZ$23.59;44%
en-NZ;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;54;;;;
en-NZ;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;479;;;NZ$39.90;26%
en-SG;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;42;;;;
en-SG;CDGSSUBPUREPREM2;153669;OL_DR_SUB365;277;;;S$23.00;45%
en-SG;CDTSSUBSCRIPTION1;155971;OL_DE_SUB30;46;;;;
en-SG;CDTSSUBSCRIPTION2;155984;OL_DE_SUB365;439;;;S$41.60;24%
en-US;CDGSSUBPUREPREM1;153663;OL_DR_SUB30;29.95;;;;
